image_url,flickr_url,latitude,longitude,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/53609319358_4581360c80_b.jpg,https://www.flickr.com/photos/25582125@N04/53609319358,40.741938,-74.007767,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/52889759827_f95dab2f1e_b.jpg,https://www.flickr.com/photos/25582125@N04/52889759827,40.753433,-74.000859,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/48403749491_b7835f38df_b.jpg,https://www.flickr.com/photos/30512104@N07/48403749491,40.719744,-73.996153,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/32313567747_7d8032a658_b.jpg,https://www.flickr.com/photos/25582125@N04/32313567747,40.74738,-74.004153,,,,,,,,,,,,,,,
https://live.staticflickr.com/4829/31363231227_d52f8f591d_b.jpg,https://www.flickr.com/photos/26522673@N07/31363231227,40.752344,-73.977931,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/38712526152_f7844187d5_b.jpg,https://www.flickr.com/photos/25582125@N04/38712526152,40.747097,-74.004525,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/37173986343_b590be2312_b.jpg,https://www.flickr.com/photos/25582125@N04/37173986343,40.752772,-74.00147,,,,,,,,,,,,,,,
https://live.staticflickr.com/4339/36609480014_148f775c8c_b.jpg,https://www.flickr.com/photos/77363333@N08/36609480014,42.349158,-71.079403,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/36489165773_6b6228e35c_b.jpg,https://www.flickr.com/photos/25582125@N04/36489165773,40.712983,-74.007206,,,,,,,,,,,,,,,
https://live.staticflickr.com/8734/28678199196_10476f4814_b.jpg,https://www.flickr.com/photos/26522673@N07/28678199196,40.751938,-73.977148,,,,,,,,,,,,,,,
https://live.staticflickr.com/1715/25990273272_8a00ded09e_b.jpg,https://www.flickr.com/photos/26522673@N07/25990273272,40.75612,-73.986321,,,,,,,,,,,,,,,
https://live.staticflickr.com/8304/7864620274_c8328789c7_b.jpg,https://www.flickr.com/photos/41474913@N05/7864620274,43.091816,-79.075276,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/54741183433_475d17a132_b.jpg,https://www.flickr.com/photos/96739609@N00/54741183433,42.762263,-84.895292,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/54369249361_a7e3409020_b.jpg,https://www.flickr.com/photos/64873675@N00/54369249361,40.260225,-76.88495,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/54278902839_52ee2cb35a_b.jpg,https://www.flickr.com/photos/25582125@N04/54278902839,40.734283,-74.001342,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/54201055365_78c51392b5_b.jpg,https://www.flickr.com/photos/25582125@N04/54201055365,40.754213,-74.002831,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/54141121727_e4a80d6b17_b.jpg,https://www.flickr.com/photos/96739609@N00/54141121727,42.756056,-84.74169,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/54102371221_c8a423abd2_b.jpg,https://www.flickr.com/photos/25445283@N00/54102371221,38.322669,-84.667817,,,,,,,,,,,,,,,
https://live.staticflickr.com/65535/53954708713_b38ae4cd2c_b.jpg,https://www.flickr.com/photos/7156765@N05/53954708713,41.586769,-109.219871,,,,,,,,,,,,,,,
